,airport_code,location,name
146,SAT,"San Antonio, TX", San Antonio International
147,SBA,"Santa Barbara, CA", Santa Barbara Municipal
148,SEA,"Seattle, WA", Seattle/Tacoma International
149,SFO,"San Francisco, CA", San Francisco International
150,SJC,"San Jose, CA", Norman Y. Mineta San Jose International
151,SJU,"San Juan, PR", Luis Munoz Marin International
152,SLC,"Salt Lake City, UT", Salt Lake City International
153,SMF,"Sacramento, CA", Sacramento International
154,SNA,"Santa Ana, CA", John Wayne Airport-Orange County
155,SRQ,"Sarasota/Bradenton, FL", Sarasota/Bradenton International
156,STT,"Charlotte Amalie, VI", Cyril E King
157,STX,"Christiansted, VI", Henry E. Rohlsen
158,TPA,"Tampa, FL", Tampa International
159,TUL,"Tulsa, OK", Tulsa International
160,TUS,"Tucson, AZ", Tucson International
161,VPS,"Valparaiso, FL", Eglin AFB Destin Fort Walton Beach
162,ADK,"Adak Island, AK", Adak
163,ADQ,"Kodiak, AK", Kodiak Airport
164,AKN,"King Salmon, AK", King Salmon Airport
165,BET,"Bethel, AK", Bethel Airport
166,BRW,"Barrow, AK", Wiley Post/Will Rogers Memorial
167,CDV,"Cordova, AK", Merle K Mudhole Smith
168,DAL,"Dallas, TX", Dallas Love Field
169,DLG,"Dillingham, AK", Dillingham Airport
170,FAI,"Fairbanks, AK", Fairbanks International
171,GST,"Gustavus, AK", Gustavus Airport
172,JNU,"Juneau, AK", Juneau International
173,KTN,"Ketchikan, AK", Ketchikan International
174,OAK,"Oakland, CA", Metropolitan Oakland International
175,OME,"Nome, AK", Nome Airport
176,OTZ,"Kotzebue, AK", Ralph Wien Memorial
177,PAE,"Everett, WA", Snohomish County
178,PSG,"Petersburg, AK", Petersburg James A Johnson
179,SCC,"Deadhorse, AK", Deadhorse Airport
180,SIT,"Sitka, AK", Sitka Rocky Gutierrez
181,WRG,"Wrangell, AK", Wrangell Airport
182,YAK,"Yakutat, AK", Yakutat Airport
183,BQN,"Aguadilla, PR", Rafael Hernandez
184,HYA,"Hyannis, MA", Barnstable Municipal-Boardman/Polando Field
185,MVY,"Martha's Vineyard, MA", Martha's Vineyard Airport
186,PSE,"Ponce, PR", Mercedita
187,BIL,"Billings, MT", Billings Logan International
188,DAB,"Daytona Beach, FL", Daytona Beach International
189,ECP,"Panama City, FL", Northwest Florida Beaches International
190,FAR,"Fargo, ND", Hector International
191,GRB,"Green Bay, WI", Green Bay Austin Straubel International
192,HOU,"Houston, TX", William P Hobby
193,HSV,"Huntsville, AL", Huntsville International-Carl T Jones Field
194,IDA,"Idaho Falls, ID", Idaho Falls Regional
195,JAN,"Jackson/Vicksburg, MS", Jackson Medgar Wiley Evers International
196,MDW,"Chicago, IL", Chicago Midway International
197,MLB,"Melbourne, FL", Melbourne International
198,BIS,"Bismarck/Mandan, ND", Bismarck Municipal
199,BKG,"Branson, MO", Branson Airport
200,DRO,"Durango, CO", Durango La Plata County
201,GJT,"Grand Junction, CO", Grand Junction Regional
202,HRL,"Harlingen/San Benito, TX", Valley International
203,ILG,"Wilmington, DE", New Castle
204,ISP,"Islip, NY", Long Island MacArthur
205,SWF,"Newburgh/Poughkeepsie, NY", New York Stewart International
206,TTN,"Trenton, NJ", Trenton Mercer
207,AZA,"Phoenix, AZ", Phoenix - Mesa Gateway
208,BLI,"Bellingham, WA", Bellingham International
209,BLV,"Belleville, IL", Scott AFB/MidAmerica
210,CAK,"Akron, OH", Akron-Canton Regional
211,CKB,"Clarksburg/Fairmont, WV", North Central West Virginia
212,ELM,"Elmira/Corning, NY", Elmira/Corning Regional
213,FNT,"Flint, MI", Bishop International
214,GFK,"Grand Forks, ND", Grand Forks International
215,GRI,"Grand Island, NE", Central Nebraska Regional
216,GTF,"Great Falls, MT", Great Falls International
217,HGR,"Hagerstown, MD", Hagerstown Regional-Richard A. Henson Field
218,HTS,"Ashland, WV", Tri-State/Milton J. Ferguson Field
219,IAG,"Niagara Falls, NY", Niagara Falls International
220,LCK,"Columbus, OH", Rickenbacker International
221,LRD,"Laredo, TX", Laredo International
222,MFR,"Medford, OR", Rogue Valley International - Medford
223,MRY,"Monterey, CA", Monterey Regional
